block,NumSp,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
R1_b10,1,1100.5901,909.4522000000001,655.0086,784.6198,526.768,464.7025,405.4731,245.51222222222225,137.13588888888887,402.24777777777774,280.2311111111111,343.90444444444444,300.3544444444444,310.74311111111115,318.4211111111111,267.80888888888893,306.2711111111111,366.6144444444444,260.2222222222223,269.5911111111111,208.51333333333332,192.44333333333333
R1_b11,1,1058.6965,825.3749000000001,703.9694999999999,1021.6836000000001,564.0076999999999,452.4073,332.3331,319.8644444444444,117.16055555555555,644.198888888889,196.06666666666666,294.0777777777778,179.61555555555555,230.50444444444443,262.1411111111111,219.71444444444444,341.6466666666667,249.21888888888893,242.7244444444445,205.83,185.37222222222223,184.07111111111112
R1_b12,1,795.4367,779.6779,509.77260000000007,461.1938,414.31360000000006,310.26529999999997,261.6981,156.49999999999997,112.587,271.10555555555555,244.22666666666666,271.7733333333333,248.02333333333334,242.73811111111107,238.80333333333334,215.4733333333333,250.5944444444445,276.90666666666664,191.59111111111113,185.59000000000003,137.11222222222221,141.95333333333335
R1_b13,1,829.5899999999999,864.2788,565.3267000000001,694.3495,466.342,296.7626,246.20530000000002,187.534,119.3261111111111,458.53333333333336,234.41666666666666,262.3533333333333,193.32555555555555,234.92477777777776,208.6977777777778,215.65555555555557,246.96888888888887,240.84111111111108,212.0688888888889,207.76555555555555,173.26333333333332,152.5966666666667
R1_b14,1,836.4263000000001,987.8908000000001,627.6306999999999,1062.8447999999999,396.90299999999996,397.75900000000007,285.43399999999997,193.3975,108.41287500000001,478.15500000000003,230.17999999999998,232.9125,216.17999999999998,235.64875,269.67999999999995,265.37375,325.0325,189.33124999999998,222.58749999999998,198.68,135.30625,134.61875
R1_b15,1,880.7634,791.0966,563.3599999999999,567.9822999999999,411.9683,401.8232,283.8698,163.98700000000002,130.677,353.5375,258.205,336.4925,285.9875,317.29225,327.92999999999995,265.39125,291.23375,365.03875000000005,259.40125,223.44,200.24249999999998,172.165
R1_b16,1,662.5663000000001,806.2587000000001,505.31590000000006,617.6163,396.01250000000005,268.4095,245.7645,201.85777777777778,91.85000000000001,307.4677777777777,184.14333333333332,199.2888888888889,158.52555555555557,141.42777777777778,175.20000000000002,190.28666666666666,164.58555555555554,166.2788888888889,175.6122222222222,177.93555555555557,108.08555555555556,89.97777777777779
R1_b17,1,1179.1232,853.3804,710.6554,833.3751,568.0865000000001,503.89699999999993,510.64250000000004,274.023,132.01111111111112,563.048888888889,267.24555555555554,317.68888888888887,235.25,257.4422222222222,296.89111111111106,247.08444444444447,371.77555555555557,246.29555555555555,275.09333333333336,245.37444444444444,194.49,187.0622222222222
R1_b18,1,681.8599,630.4966999999999,399.1778,431.15749999999997,287.3171,255.49049999999997,196.8627,119.69111111111111,91.17875000000001,294.80875,192.15125,209.97125,201.7025,197.29250000000002,194.51999999999998,176.90375,186.26875,167.3075,181.525,138.72625000000002,112.37375,122.93625
R1_b19,1,618.0334,586.3102,461.25789999999995,388.7151,305.2321999999999,287.05949999999996,211.7774,137.666,87.93725,306.0575,165.63625,175.05,184.06375,194.581625,201.95375000000004,195.3475,206.47875,243.7425,147.52625,153.1875,108.5075,117.57749999999999
R2_b0,2,1625.4303000000002,1533.361,1046.1454999999999,1374.029,871.1888000000001,758.5416,650.5835999999999,403.2833333333333,251.344,1028.8799999999999,568.9380000000001,668.5939999999998,388.358,463.622,610.458,506.996,492.742,489.56000000000006,377.99,369.64799999999997,221.42,301.11
R2_b1,2,1714.5167999999999,1568.5252000000003,982.1292,1288.8178,850.9371000000001,691.0840000000001,666.3205999999999,326.0688888888889,254.70714285714286,891.4457142857143,463.60714285714283,671.1614285714287,415.1528571428571,411.4971428571429,568.2314285714286,440.94714285714286,464.78000000000003,411.3442857142857,346.65285714285716,356.2814285714286,296.5514285714285,204.1714285714286
R2_b2,2,1317.9603000000002,1010.0606000000001,736.2995000000001,631.3095000000001,609.9269,495.34490000000005,412.10150000000004,256.709,175.47833333333332,520.305,295.57500000000005,450.1716666666667,323.48833333333334,366.4750000000001,296.71666666666664,330.61999999999995,320.565,342.12000000000006,261.66499999999996,207.06500000000003,199.50333333333333,209.68333333333337
R2_b3,2,1964.9867,1679.7611000000002,1056.7975000000001,1458.4895000000001,997.6866,717.2250000000001,706.2109,395.6244444444444,268.71625,1015.71,483.85375,690.4512500000001,408.34,427.97,568.3175,428.52,465.955,399.76499999999993,366.37250000000006,364.30000000000007,301.83375,207.4475
R2_b4,2,1476.0164,987.0481,860.4293999999998,717.1982,554.0453,549.9959000000001,494.79580000000004,291.51800000000003,145.53499999999997,540.1825,293.95874999999995,305.58375,312.0275,256.25125,299.09125,348.41,279.7625,306.57750000000004,229.70375,202.47875000000002,165.36624999999998,191.02625
R2_b5,2,1351.2535000000003,1058.8166999999999,690.1092000000001,637.465,653.6719999999999,383.7194,382.3469,255.19400000000002,196.14571428571432,556.1414285714287,285.98,391.5814285714286,267.03285714285715,291.4157142857143,329.18571428571425,275.40142857142854,253.56142857142854,261.1485714285715,205.85,204.29999999999998,193.40285714285713,152.82571428571427
R2_b6,2,1171.6770000000001,934.7949000000001,744.4284999999999,676.7946,613.7825,565.49,430.27790000000005,259.043,136.32500000000002,372.6925,253.235,351.29875,268.96,271.33750000000003,271.8075,292.45625,261.14750000000004,266.2625,246.15875,218.745,173.20625,174.90375
R2_b7,2,1562.7501,1209.0339,933.5808999999999,905.7698999999999,828.417,684.8694,622.4932000000001,344.341,243.3657142857143,788.5614285714286,419.25999999999993,585.6914285714286,385.39285714285717,360.66999999999996,473.48428571428576,369.5128571428571,361.76142857142855,382.3228571428571,319.05428571428575,281.5685714285715,252.85571428571424,212.07857142857142
R2_b8,2,1636.4467,1359.1803,982.2870999999999,827.6222,892.0447,667.3491,565.8614000000001,288.963,185.36555555555555,584.2811111111112,347.8588888888888,467.6966666666666,321.12999999999994,394.6288888888889,377.6233333333333,391.63444444444445,379.57555555555547,335.9811111111111,324.74222222222227,249.00666666666666,203.78666666666666,184.53666666666666
